Function,Method,Nests,Iterations,Dimension,NumProc,Time_ms
sphere,SEQUENTIAL,5000,40,10000,,138895
sphere,THREADS,5000,40,10000,,62873.5
sphere,PROCESS,5000,40,10000,8,32797.3
rosen,SEQUENTIAL,5000,40,10000,,250318
rosen,THREADS,5000,40,10000,,75947.5
rosen,PROCESS,5000,40,10000,8,55491.5
rastrigin,SEQUENTIAL,5000,40,10000,,192198
rastrigin,THREADS,5000,40,10000,,64029.3
rastrigin,PROCESS,5000,40,10000,8,42029.8
ackley,SEQUENTIAL,5000,40,10000,,191969
ackley,THREADS,5000,40,10000,,67443
ackley,PROCESS,5000,40,10000,8,44886.1
schwefel,SEQUENTIAL,5000,40,10000,,216913
schwefel,THREADS,5000,40,10000,,66651
schwefel,PROCESS,5000,40,10000,8,47180.9
