Function,Method,Nests,Iterations,Dimension,NumProc,Time_ms
sphere,SEQUENTIAL,5000,40,5000,,69524.7
sphere,THREADS,5000,40,5000,,53232.5
sphere,PROCESS,5000,40,5000,4,22449.1
rosen,SEQUENTIAL,5000,40,5000,,125774
rosen,THREADS,5000,40,5000,,67819.8
rosen,PROCESS,5000,40,5000,4,39224.7
rastrigin,SEQUENTIAL,5000,40,5000,,97313.1
rastrigin,THREADS,5000,40,5000,,61908.7
rastrigin,PROCESS,5000,40,5000,4,31692.4
ackley,SEQUENTIAL,5000,40,5000,,95672.7
ackley,THREADS,5000,40,5000,,65430.3
ackley,PROCESS,5000,40,5000,4,31797
schwefel,SEQUENTIAL,5000,40,5000,,109212
schwefel,THREADS,5000,40,5000,,65186.5
schwefel,PROCESS,5000,40,5000,4,35029.3
