Function,Method,Nests,Iterations,Dimension,NumProc,Time_ms
sphere,SEQUENTIAL,5000,30,500,,7796.67
sphere,THREADS,5000,30,500,,3886.47
sphere,PROCESS,5000,30,500,100,3353.35
rosen,SEQUENTIAL,5000,30,500,,13761.2
rosen,THREADS,5000,30,500,,5448.32
rosen,PROCESS,5000,30,500,100,5024.24
rastrigin,SEQUENTIAL,5000,30,500,,9704.04
rastrigin,THREADS,5000,30,500,,4638.14
rastrigin,PROCESS,5000,30,500,100,4465.4
ackley,SEQUENTIAL,5000,30,500,,9711.68
ackley,THREADS,5000,30,500,,5049.36
ackley,PROCESS,5000,30,500,100,4602.93
schwefel,SEQUENTIAL,5000,30,500,,11500
schwefel,THREADS,5000,30,500,,5343.08
schwefel,PROCESS,5000,30,500,100,4228.17
sphere,SEQUENTIAL,500,30,500,,681.304
sphere,THREADS,500,30,500,,641.087
sphere,PROCESS,500,30,500,100,2015.47
rosen,SEQUENTIAL,500,30,500,,1200.17
rosen,THREADS,500,30,500,,633.237
rosen,PROCESS,500,30,500,100,3128.47
rastrigin,SEQUENTIAL,500,30,500,,1573.32
rastrigin,THREADS,500,30,500,,796.06
rastrigin,PROCESS,500,30,500,100,2350.31
ackley,SEQUENTIAL,500,30,500,,894.752
ackley,THREADS,500,30,500,,755.785
ackley,PROCESS,500,30,500,100,2671.1
schwefel,SEQUENTIAL,500,30,500,,1317.11
schwefel,THREADS,500,30,500,,777.928
schwefel,PROCESS,500,30,500,100,2850.25
sphere,SEQUENTIAL,50,30,500,,88.7348
sphere,THREADS,50,30,500,,127.147
sphere,PROCESS,50,30,500,100,1392.83
rosen,SEQUENTIAL,50,30,500,,133.069
rosen,THREADS,50,30,500,,133.923
rosen,PROCESS,50,30,500,100,1955.03
rastrigin,SEQUENTIAL,50,30,500,,220.052
rastrigin,THREADS,50,30,500,,206.636
rastrigin,PROCESS,50,30,500,100,1637.05
ackley,SEQUENTIAL,50,30,500,,128.63
ackley,THREADS,50,30,500,,205.981
ackley,PROCESS,50,30,500,100,1432.57
schwefel,SEQUENTIAL,50,30,500,,93.3542
schwefel,THREADS,50,30,500,,164.206
schwefel,PROCESS,50,30,500,100,2390.05
sphere,SEQUENTIAL,50000,30,500,,77508.7
sphere,THREADS,50000,30,500,,48499.6
sphere,PROCESS,50000,30,500,100,28716.5
rosen,SEQUENTIAL,50000,30,500,,143282
rosen,THREADS,50000,30,500,,81854.9
rosen,PROCESS,50000,30,500,100,39073.9
rastrigin,SEQUENTIAL,50000,30,500,,110413
rastrigin,THREADS,50000,30,500,,51618.6
rastrigin,PROCESS,50000,30,500,100,29029.6
ackley,SEQUENTIAL,50000,30,500,,121662
ackley,THREADS,50000,30,500,,53268.8
ackley,PROCESS,50000,30,500,100,29222.2
schwefel,SEQUENTIAL,50000,30,500,,130782
schwefel,THREADS,50000,30,500,,57030.7
schwefel,PROCESS,50000,30,500,100,33038.8
sphere,SEQUENTIAL,5000,30,5000,,76726.4
sphere,THREADS,5000,30,5000,,41304.3
sphere,PROCESS,5000,30,5000,100,28838.6
rosen,SEQUENTIAL,5000,30,5000,,132496
rosen,THREADS,5000,30,5000,,56705
rosen,PROCESS,5000,30,5000,100,42927.2
rastrigin,SEQUENTIAL,5000,30,5000,,101188
rastrigin,THREADS,5000,30,5000,,46670.4
rastrigin,PROCESS,5000,30,5000,100,35127.8
ackley,SEQUENTIAL,5000,30,5000,,106180
ackley,THREADS,5000,30,5000,,48501.7
ackley,PROCESS,5000,30,5000,100,39433.3
schwefel,SEQUENTIAL,5000,30,5000,,115886
schwefel,THREADS,5000,30,5000,,54744.5
schwefel,PROCESS,5000,30,5000,100,42007.1
sphere,SEQUENTIAL,500,30,50000,,76602.4
sphere,THREADS,500,30,50000,,57544.5
sphere,PROCESS,500,30,50000,100,20642.4
rosen,SEQUENTIAL,500,30,50000,,141455
rosen,THREADS,500,30,50000,,63201.2
rosen,PROCESS,500,30,50000,100,39335.1
rastrigin,SEQUENTIAL,500,30,50000,,105794
rastrigin,THREADS,500,30,50000,,53718.1
rastrigin,PROCESS,500,30,50000,100,29716.8
ackley,SEQUENTIAL,500,30,50000,,111405
ackley,THREADS,500,30,50000,,53686.4
ackley,PROCESS,500,30,50000,100,25846.7
schwefel,SEQUENTIAL,500,30,50000,,114313
schwefel,THREADS,500,30,50000,,59126.4
schwefel,PROCESS,500,30,50000,100,29645.4
