Function,Method,Nests,Iterations,Dimension,NumProc,Time_ms
sphere,PROCESS,5000,30,500,10,2751.46
rosen,PROCESS,5000,30,500,10,3790.02
rastrigin,PROCESS,5000,30,500,10,3027.61
ackley,PROCESS,5000,30,500,10,2985.03
schwefel,PROCESS,5000,30,500,10,2982.15
sphere,PROCESS,5000,30,500,20,2137.31
rosen,PROCESS,5000,30,500,20,3515.7
rastrigin,PROCESS,5000,30,500,20,3011.16
ackley,PROCESS,5000,30,500,20,2861.37
schwefel,PROCESS,5000,30,500,20,2959.11
sphere,PROCESS,5000,30,500,30,2237.71
rosen,PROCESS,5000,30,500,30,3676.04
rastrigin,PROCESS,5000,30,500,30,2648.79
ackley,PROCESS,5000,30,500,30,3044.56
schwefel,PROCESS,5000,30,500,30,3845.15
sphere,PROCESS,5000,30,500,40,2409.21
rosen,PROCESS,5000,30,500,40,4753.36
rastrigin,PROCESS,5000,30,500,40,3753.97
ackley,PROCESS,5000,30,500,40,3678.85
schwefel,PROCESS,5000,30,500,40,3427.05
sphere,PROCESS,5000,30,500,50,2532.91
rosen,PROCESS,5000,30,500,50,3612.98
rastrigin,PROCESS,5000,30,500,50,2824.22
ackley,PROCESS,5000,30,500,50,3097.22
schwefel,PROCESS,5000,30,500,50,3179.28
sphere,PROCESS,5000,30,500,60,2731.23
rosen,PROCESS,5000,30,500,60,4415.98
rastrigin,PROCESS,5000,30,500,60,3288.57
ackley,PROCESS,5000,30,500,60,4460.15
schwefel,PROCESS,5000,30,500,60,4093.27
sphere,PROCESS,5000,30,500,70,2268.33
rosen,PROCESS,5000,30,500,70,3681.6
rastrigin,PROCESS,5000,30,500,70,3283.68
ackley,PROCESS,5000,30,500,70,2779.51
schwefel,PROCESS,5000,30,500,70,3876.4
sphere,PROCESS,5000,30,500,80,2206.8
rosen,PROCESS,5000,30,500,80,3900.2
rastrigin,PROCESS,5000,30,500,80,3529.85
ackley,PROCESS,5000,30,500,80,2815.68
schwefel,PROCESS,5000,30,500,80,4027.71
sphere,PROCESS,5000,30,500,90,2363.02
rosen,PROCESS,5000,30,500,90,3441.13
rastrigin,PROCESS,5000,30,500,90,3983.5
ackley,PROCESS,5000,30,500,90,2938.5
schwefel,PROCESS,5000,30,500,90,3042.09
sphere,PROCESS,5000,30,500,100,3779.39
rosen,PROCESS,5000,30,500,100,3948.71
rastrigin,PROCESS,5000,30,500,100,3253.23
ackley,PROCESS,5000,30,500,100,4390.04
schwefel,PROCESS,5000,30,500,100,3080.31
